QuestionID,Unit,Part,Question
A101,1,A,What is Swarm Intelligence? How does it draw spiration from nature?
A102,1,A,Define the essence of an algorithm in the context of Swarm Intelligence.
A103,1,A,What is the role of algorithms in solving optimization problems in Swarm Intelligence?
A104,1,A,Write the concept of self-organization in nature and its significance in Swarm Intelligence.
A105,1,A,How do local interactions in a swarm lead to global problem-solving behavior?
A106,1,A,What is the relationship between algorithms and self-organization? Provide examples.
A107,1,A,"What is ""emergent behavior"" in Swarm Intelligence systems?"
A108,1,A,List the main characteristics of metaheuristics.
A109,1,A,How do metaheuristics help solve complex optimization problems?
A110,1,A,What are the advantages of using metaheuristics in solving real-world problems?
A111,1,A,How Ant Colony Optimization (ACO) works in solving optimization problems like the Traveling Salesman Problem?
A112,1,A,How does the Bee Algorithm mimic the behavior of honeybees in solving optimization tasks?
A113,1,A,How Particle Swarm Optimization (PSO) works? What is the role of individual particles and the swarm in finding solutions?
A114,1,A,"What is the Krill Herd Algorithm, and how does it model the behavior of krill in its search for optimal solutions?"
A115,1,A,"Compare and contrast the different swarm-based algorithms: ACO, Bee Algorithms, PSO, and Krill Herd."
A116,1,A,How do Swarm Intelligence algorithms handle dynamic or changing environments?
A117,1,A,What are the primary differences between swarm-based algorithms and traditional optimization methods?
A118,1,A,"What is the concept of ""pheromone"" in Ant Colony Optimization? How does it influence decision-making?"
A119,1,A,"Describe the process of ""waggle dance"" in bees and how it is used in optimization problems."
A120,1,A,What role does social interaction play in Particle Swarm Optimization and its convergence to an optimal solution?
B101,1,B,Explain the concept of Swarm Intelligence. How does it differ from traditional artificial intelligence techniques?
B102,1,B,"Illustrate how heuristics are applied in solving a path finding problem, such as robot navigation or game AI. How does the choice of heuristic function affect the algorithm’s performance in terms of both time complexity and solution quality?"
B103,1,B,"Explain how Ant Colony Optimization (ACO) works. What are the key components of the algorithm, such as pheromones and the movement of ants that contribute to finding optimal solutions?"
B104,1,B,Describe the Particle Swarm Optimization (PSO) algorithm. How do particles in the swarm cooperate and share information to find optimal solutions?
B105,1,B,Demonstrate how the Krill Herd Algorithm can be adapted to solve a real-world optimization problem. What modifications would you make to improve its performance?
B106,1,B,i).Discuss the advantages and limitations of Best First Search. ii).Explain in detail about A* and Hill Climbing .  
B107,1,B,Explain how A* Algorithm is an extension of Best First Search and its application in pathfinding
B108,1,B,"Explain the Hill Climbing algorithm. What are the potential problems, such as getting stuck in local maxima?"
B109,1,B,Discuss the concept of local search methods and how they are applied in AI optimization tasks.
B110,1,B,"i).Compare and contrast the Ant Colony Optimization (ACO), Bee Algorithm, Particle Swarm Optimization (PSO) and Krill Herd Algorithm.ii).Discuss the Swarm intelligence algorithms similarities and differences in terms of their working principles and areas of application. "
C101,1,C,"Analyse the process of self-organization in Swarm Intelligence. How do local interactions among agents lead to global problem-solving, and how can this process be applied to optimize a real-world task?"
C102,1,C,Analyze how Particle Swarm Optimization (PSO) can be used to solve a multi-objective optimization problem.
C103,1,C,"Demonstrate the application of the Krill Herd Algorithm in solving a continuous optimization problem. Explain how the movement of krill within the herd and their collective behavior can be used to find the global optimum in a complex, multi-dimensional space."
C104,1,C,"Describe the Breadth First Search (BFS) strategy in detail.
Explain how the principles of BFS relate to collective exploration and parallel search behavior observed in Swarm Intelligence systems."
A201,2,A,Define Ant Colony Optimization (ACO).
A202,2,A,"What is stigmergy, and how is it relevant to ACO?"
A203,2,A,Explain the role of pheromones in the ACO algorithm.
A204,2,A,Differentiate between combinatorial optimization and meta-heuristic approaches.
A205,2,A,What is the significance of convergence proofs in the context of ACO?
A206,2,A,What are the main components of an ACO algorithm?
A207,2,A,"What is the Elitist Ant System (EAS), and how does it differ from the basic ACO?"
A208,2,A,Define Minmax Ant System (MMAS) and its key features.
A209,2,A,How does the Rank-Based Ant Colony System (RANKAS) prioritize solutions?
A210,2,A,Compare Elitist Ant System (EAS) and Minmax Ant System (MMAS) in terms of their impact on pheromone updates.
A211,2,A,How is the Ant Colony Optimization (ACO) algorithm applied to the Traveling Salesperson Problem (TSP)?
A212,2,A,What are the advantages of using Ant Colony Optimization (ACO )for feature selection in machine learning?
A213,2,A,How Ant Colony Optimization (ACO )can be adapted for dynamic optimization problems?
A214,2,A,Explain the role of pheromone evaporation in preventing stagnation in Ant Colony Optimization(ACO).
A215,2,A,How does ACO handle the exploration vs. exploitation trade-off?
A216,2,A,Write the pheromone update rule used in ACO.
A217,2,A,What is the importance of the initialization phase in ACO?
A218,2,A,Discuss the fitness function used in ACO for combinatorial optimization.
A219,2,A,What is the role of heuristics in the ACO framework?
A220,2,A,How do ants' paths converge to an optimal solution in ACO algorithms?
B201,2,B,Discuss the working principles of Ant Colony Optimization (ACO) and explain how stigmergy is used as a communication mechanism in ACO algorithms.
B202,2,B,Explain the relationship between combinatorial optimization and meta-heuristics in the context of ACO. How does ACO serve as a meta-heuristic?
B203,2,B,Provide a detailed explanation of convergence proofs in ACO. Why is proving convergence important in optimization algorithms?
B204,2,B,"Describe the ACO algorithm in detail, highlighting each phase and its role in solving optimization problems."
B205,2,B,i).Discuss the concept of model-based search in ACO. ii).How does ACO differ from traditional search methods? 
B206,2,B,"Compare and contrast the Elitist Ant System (EAS), Minmax Ant System (MMAS), and Rank-Based Ant Colony System (RANKAS) in terms of their objectives, pheromone update rules, and performance."
B207,2,B,Elaborate on the role and significance of pheromone evaporation and reinforcement mechanisms in preventing premature convergence in ACO variations.
B208,2,B,Explain the implementation of the ACO algorithm for solving the Traveling Salesperson Problem (TSP). Discuss the challenges faced during implementation.
B209,2,B,i).Describe the ACO algorithm for feature selection in machine learning.ii).How does ACO improve feature selection compared to other methods?
B210,2,B,Evaluate the strengths and limitations of ACO. Discuss possible enhancements or hybridizations to improve the performance of ACO in complex optimization problems.
C201,2,C," Explain the concept of ""Rank-Based Ant Colony System"" (RANKAS) and how it helps improve the convergence behavior of ACO in optimization problems."
C202,2,C,"Analyze the convergence behavior of Ant Colony Optimization (ACO) when applied to large-scale optimization problems. What factors can lead to slow convergence, and how can these be mitigated?"
C203,2,C, Evaluate how Ant Colony Optimization (ACO) can be integrated with other optimization algorithms
C204,2,C,"Explain the importance of convergence proofs in Swarm Intelligence.
Discuss the theoretical approaches used to analyze and prove convergence of swarm-based optimization algorithms."
A301,3,A,How Particle Swarm Optimization (PSO) is inspired by the behavior of birds and fish?
A302,3,A,What is the analogy between bird flocking and fish schooling and the Particle Swarm Optimization (PSO) algorithm?
A303,3,A, Define the operating principles of Particle Swarm Optimization (PSO)
A304,3,A,What are the key components of the Particle Swarm Optimization (PSO) algorithm that influence its performance?
A305,3,A,What is the role of inertia weight in Particle Swarm Optimization (PSO)? How does it affect the convergence rate?
A306,3,A,What are the differences between local and global search in PSO? How do particles use both search mechanisms?
A307,3,A,How do the cognitive and social components in the PSO velocity update formula influence the behavior of particles?
A308,3,A,What are some common variations of Particle Swarm Optimization (PSO)?
A309,3,A,"How do different neighbourhood topologies (global, local, ring) in PSO affect the diversity and convergence speed of the swarm?"
A310,3,A,What modifications are required for PSO to handle discrete problems?
A311,3,A,What challenges are typically faced when applying PSO to high-dimensional optimization problems?
A312,3,A,How does the velocity update equation in PSO help balance exploration and exploitation?
A313,3,A,What is the significance of the global best (gbest) and personal best (pbest) positions in PSO? 
A314,3,A,How can PSO be adapted for constrained optimization problems? 
A315,3,A,What are the advantages of using PSO over traditional gradient-based optimization algorithms for certain optimization problems?
A316,3,A,How does PSO handle large-dimensional optimization problems?
A317,3,A,"What is the significance of the global best (gbest) position in PSO, and how does it contribute to the search process?"
A318,3,A,What is the impact of modifying the cognitive and social learning factors in the PSO algorithm?
A319,3,A,Write the Principles of Bird Flocking.
A320,3,A,Write short notes for  Bird’s-Eye View.
B301,3,B, Describe the general steps involved in the Particle Swarm Optimization (PSO) algorithm.
B302,3,B,Explain the concept of a Bird’s-Eye View in Particle Swarm Optimization. How does it relate to the global and local search processes?
B303,3,B,Discuss the evolution of Particle Swarm Optimization (PSO). How did the algorithm evolve from its initial concept to the modern variations?
B304,3,B, Explain the significance of Neighbourhood Topologies in PSO. How do different topologies impact the search process?
B305,3,B,Explain the concept of Convergence Criteria in PSO. How does PSO determine when it has converged?
B306,3,B, Discuss the impact of population size on the performance of PSO. How does increasing or decreasing the swarm size influence the algorithm’s efficiency?
B307,3,B,"i).Describe the concept of 'fitness function' in PSO.
ii). How is the fitness of a particle evaluated, and how does this evaluation guide the search for an optimal solution?
"
B308,3,B,Describe two variations of the Particle Swarm Optimization (PSO) algorithm and their advantages over the basic PSO model. Provide examples of problems where these variations would be more effective.
B309,3,B,"i).Examine the effect of neighborhood size on the performance of Particle Swarm Optimization (PSO).
ii).How does the size of the neighborhood influence the search behavior, convergence speed, and solution quality?
"
B310,3,B,"Explain the main components of the Particle Swarm Optimization (PSO) algorithm, such as velocity, position, and the cognitive and social components."
C301,3,C,"Analyze the different convergence criteria used in Particle Swarm Optimization (PSO). How do factors like the number of iterations, the best fitness value, and the change in the global best position affect the termination of the algorithm?"
C302,3,C,Identify and explain two advanced variations of the Particle Swarm Optimization (PSO) algorithm. Discuss the situations where each variation would be more effective compared to the standard PSO in terms of optimization efficiency and solution quality.
C303,3,C,"Evaluate the convergence behavior of the Particle Swarm Optimization (PSO) algorithm when applied to high-complexity optimization problems, such as non-convex, multi-modal optimization or large-scale combinatorial problems."
C304,3,C,"Describe the principles of fish schooling.
Explain how local interaction rules enable coordination, collision avoidance, and synchronized movement in fish schools."
A401,4,A,"What is the concept of ""fitness"" in bee foraging behavior and how is it applied in the context of the Artificial Bee Colony (ABC) optimization algorithm?"
A402,4,A,Differentiate employed bees and scout bees in the ABC algorithm and their respective roles in the search process.
A403,4,A,"What is the significance of the ""fitness function"" in the ABC algorithm, and how is it used to guide the search for optimal solutions?"
A404,4,A,What is the stopping criterion in the ABC algorithm?
A405,4,A,How the ABC algorithm is implemented for continuous optimization problems?
A406,4,A,What is the ABCgbestdist variation of the ABC algorithm?
A407,4,A,How do variations such as ABCgbest and ABCgbestdist influence the balance between global and local search in the ABC algorithm?
A408,4,A,How the ABCgbestdist algorithm handles the problem of convergence towards local optima in complex search spaces?
A409,4,A,How can the ABC algorithm be used to solve the Knapsack Problem?
A410,4,A,Briefly describe the steps involved in the basic Artificial Bee Colony (ABC) optimization algorithm.
A411,4,A,What are the typical stopping criteria used in the ABC algorithm?
A412,4,A,How does the ABC algorithm utilize food sources to represent solutions in an optimization problem?
A413,4,A,What is the role of the local search in the ABC algorithm and how is it performed?
A414,4,A,How can the ABC algorithm be used to solve the Travelling Salesman Problem (TSP).
A415,4,A,What is the primary difference between ABCgbest and the standard ABC algorithm?
A416,4,A,"What is the exploration-exploitation trade-off in the ABC algorithm, and how is it handled during the optimization process?"
A417,4,A,"What is the significance of the ""waggle dance"" in the context of bee foraging?"
A418,4,A,How do scout bees help to maintain diversity in the Artificial Bee Colony (ABC) algorithm?
A419,4,A,How does the behavior of real bees help in avoiding local optima in the Artificial Bee Colony algorithm?
A420,4,A,How does the ABC algorithm handle stagnation in the search process?
B401,4,B,Explain the foraging behavior of real bees and how this behavior is mimicked in the Artificial Bee Colony (ABC) algorithm.
B402,4,B,"Describe the role of worker bees, scout bees, and employed bees in the real bee colony. How do these roles contribute to the success of the colony in nature?"
B403,4,B,Explain the importance of the number of iterations or cycles in the ABC algorithm and its impact on the convergence rate.
B404,4,B,Explain the concept of ABCgbest. How does it improve upon the basic ABC algorithm in terms of exploration and exploitation?
B405,4,B,Discuss how the ABCgbestdist algorithm handles the problem of convergence towards local optima in complex search spaces. Provide an example of a problem where this variation is more effective than the basic ABC.
B406,4,B,"i).Describe how the Artificial Bee Colony (ABC) algorithm can be applied to solve the Travelling Salesman Problem (TSP).
ii).What modifications to the basic ABC algorithm are required to handle this problem? 
"
B407,4,B,Explain how the Artificial Bee Colony (ABC) algorithm can be applied to solve combinatorial optimization problems such as the Travelling Salesman Problem (TSP) and the Knapsack Problem.
B408,4,B,"Analyze the convergence behavior of the Artificial Bee Colony (ABC) algorithm. Discuss the factors that influence the convergence rate of ABC, such as the number of iterations, population size, and stopping criteria."
B409,4,B,Explain how the Artificial Bee Colony (ABC) algorithm can be extended to handle multi-objective optimization problems.
B410,4,B,"Compare the basic ABC algorithm with its variations, ABCgbest and ABCgbestdist. How do these variations affect the exploration and exploitation balance in the optimization process? Discuss the advantages and disadvantages of using ABCgbestdist over the standard ABC."
C401,4,C,"Evaluate the effectiveness of the Artificial Bee Colony (ABC) algorithm in solving complex optimization problems, such as the Travelling Salesman Problem (TSP), Knapsack Problem, and Feature Selection."
C402,4,C,Design a hybrid optimization algorithm that combines the Artificial Bee Colony (ABC) algorithm with another optimization technique to solve multi-objective optimization problems
C403,4,C,Develop a solution to the Travelling Salesman Problem (TSP) using the ABCgbest variation of the Artificial Bee Colony (ABC) algorithm.
C404,4,C,"Explain the challenges of using Swarm Intelligence for Knapsack Problem and Feature Selection, such as local optima, parameter tuning, and high-dimensional search spaces."
A501,5,A,"What is Krill Herd Optimization, and how is it inspired by the behavior of krill swarms?"
A502,5,A,Write the concept of herding behavior in krill swarms.
A503,5,A,What factors influence the movement of krill in a swarm?
A504,5,A,How the Lagrangian model of krill herding used to model the motion of individual krill?
A505,5,A,How does the Lagrangian model differ from other optimization techniques like Particle Swarm Optimization (PSO) or Genetic Algorithms (GA)?
A506,5,A,"What role does the concept of ""personal best"" and ""global best"" play in Krill Herd Optimization?"
A507,5,A,How does the Krill Herd Algorithm simulate the motion of krill in nature during the optimization process?
A508,5,A,What are the key steps involved in the Krill herd algorithm?
A509,5,A,How is the fitness of a solution evaluated in the Krill Herd Optimization process?
A510,5,A,In what types of optimization problems is Krill Herd Optimization particularly useful?
A511,5,A,How does the movement of krill in a swarm influence the collective behavior of the group?
A512,5,A,"What are the parameters involved in the Krill Herd Optimization algorithm, and how do they affect the outcome?"
A513,5,A,"How does the concept of ""swarming behavior"" contribute to the performance of Krill Herd Optimization?"
A514,5,A,How Krill Herd Optimization can be applied to continuous optimization problems?
A515,5,A,How Krill Herd Optimization can be applied in feature selection for machine learning models.
A516,5,A,What challenges are addressed by the Krill Herd Algorithm in feature selection tasks?
A517,5,A,How does Krill Herd Optimization help in improving the accuracy and efficiency of feature selection in machine learning?
A518,5,A,What are the advantages of using Krill Herd Optimization over traditional feature selection techniques?
A519,5,A,How does the Krill Herd Algorithm handle the trade-off between exploration and exploitation during the feature selection process?
A520,5,A,"Can the Krill Herd Optimization algorithm be combined with other optimization techniques for feature selection? If so, how?"
B501,5,B,Evaluate the effectiveness of Krill Herd Optimization in solving a large-scale optimization problem with multiple variables. How would you handle scalability issues?
B502,5,B,Apply the Krill Herd Algorithm to a multi-objective optimization problem and describe the modifications required for handling multiple objectives effectively.
B503,5,B,Evaluate the performance of the Krill Herd Optimization algorithm in selecting features for a classification task and compare it with other feature selection techniques.
B504,5,B,Describe how Krill Herd Optimization can be applied to a real-time feature selection task in streaming data environments.
B505,5,B,Evaluate the impact of constraints on the Krill Herd Algorithm and propose modifications to handle these constraints in a constrained optimization problem.
B506,5,B,Create a strategy to balance exploration and exploitation in the Krill Herd Optimization algorithm when selecting features from a large dataset.
B507,5,B,"i).Apply the Krill Herd Optimization algorithm to improve the performance of a neural network.
ii). Discuss the process and evaluate the effect of optimization on the network's accuracy.
"
B508,5,B,Implement the Krill Herd Algorithm for solving a constrained optimization problem. What modifications would you make to handle the constraints effectively?
B509,5,B,Apply the Krill Herd Algorithm to a clustering problem. Evaluate its ability to identify optimal cluster centers and compare it to traditional clustering algorithms.
B510,5,B,How can you adjust the parameters of the Krill Herd Optimization algorithm to enhance its convergence speed without compromising solution quality?
C501,5,C,"Create a step-by-step procedure for implementing the Krill Herd Algorithm to solve a real-world optimization problem, highlighting the expected outcomes"
C502,5,C,Demonstrate how the exploration and exploitation strategies in Krill Herd Optimization can be balanced when selecting features for a dataset.
C503,5,C,Apply the Krill Herd Algorithm to a clustering problem. Explain how the algorithm can identify and optimize cluster centers.
C504,5,C,"Evaluate the effectiveness of the Krill Herd Algorithm (KHA) in solving feature selection problems.
Discuss how KHA models the natural behavior of krill individuals, its swarm intelligence mechanisms, and its ability to select optimal feature subsets."
